dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
global,NCT01026831,Preservative-Free MK2452 (Tafluprost) for Open-Angle Glaucoma/Ocular Hypertension (MK2452-001)(COMPLETED),INDUSTRY,TREATMENT,DRUG,643,2,0,0,,,False,2010-01-06,2010-09-17,2011-09-13,254,361,35,True,True,True,False,22310086,,,92.43,63.64,52.22,74.31
africa,NCT06660823,Role of Levothyroxine Supplementation in Delayed Recovery Following Cardiac Surgery,OTHER,TREATMENT,DRUG,70,2,1,1,Egypt,Egypt,True,2024-11-30,2025-06-15,2025-08-17,197,63,37,True,True,True,False,15249698|15678312|17848764|22345873|27347890|30005886|30200092|31485977,,,97.28,55.91,54.64,74.27
global,NCT05868954,Implementation of a Mediterranean Diet Program for Overweight or Obese Pregnant Women in a Low-resource Clinical Setting,OTHER,PREVENTION,BEHAVIORAL,41,2,1,1,United States,,False,2023-08-31,2024-11-30,2025-12-08,457,373,112,True,True,False,False,,,,84.84,58.79,48.42,68.44
global,NCT03949244,Nailfold Capillary Blood Flow With Latanoprost Bunod,OTHER,BASIC_SCIENCE,DIAGNOSTIC_TEST | DRUG,47,3,1,1,United States,,False,2019-08-15,2020-10-01,2021-08-23,413,326,95,True,True,False,False,,,,87.88,52.58,49.94,67.94
global,NCT01340014,Patient Preference Comparison of AZARGA Versus COSOPT,INDUSTRY,TREATMENT,DRUG,112,2,0,0,,,False,2011-09-01,2012-10-01,2013-12-13,396,438,134,True,True,False,False,,,,73.33,73.79,42.66,67.36
global,NCT01652664,"Study of Travoprost Ophthalmic Solution, 0.004% Compared to Timolol (0.5% or 0.25%) in Pediatric Glaucoma Patients",INDUSTRY,TREATMENT,DRUG,184,2,0,0,,,False,2012-09-01,2014-03-01,2015-04-13,546,408,37,True,True,False,False,,,,73.34,71.06,42.67,66.41
global,NCT05800145,Trial to Address Food Insecurity in Patients With Hypertension (SMART-FI),OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,60,3,1,1,United States,,False,2023-05-16,2024-09-03,2025-08-05,476,336,55,True,True,False,False,,,,85.46,51.21,48.73,66.13
africa,NCT03031496,Bioequivalence Study Between GSK3542503 Hydrochlorothiazide + Amiloride Hydrochloride 50 mg: 5 mg Tablets and Reference Product in Healthy Adult Participants Under Fasting Conditions,INDUSTRY,TREATMENT,DRUG,42,2,1,1,South Africa,South Africa,True,2017-03-17,2017-04-10,2018-08-31,24,508,53,True,True,False,False,,,,77.58,58.64,44.79,64.39
global,NCT01598064,Probiotics for Liver Cirrhosis With Portal Hypertension,OTHER,PREVENTION,DIETARY_SUPPLEMENT | DRUG,49,2,1,1,Taiwan,,False,2012-04-01,2013-08-01,2014-09-05,487,400,-37,False,True,True,False,17531188|18626428|7927273|8439146|9145446,,,79.39,58.03,39.7,63.98
global,NCT05336227,Telehealth Virtual Reality Gaming on Cardiometabolic Health Among Youth With Cerebral Palsy,OTHER,PREVENTION,BEHAVIORAL,32,2,1,1,United States,,False,2022-06-01,2024-12-01,2025-05-13,914,163,49,True,True,True,False,35976192,,,73.03,59.55,42.52,62.21
global,NCT01253902,Ocular Surface Tolerability Study of Prostaglandin Analogues in Patients With Open-Angle Glaucoma or Ocular Hypertension,INDUSTRY,TREATMENT,DRUG,164,3,2,2,Canada | United States,,False,2010-12-01,2011-10-01,2012-11-07,304,403,-1,False,True,True,False,23475405|24006861,,,83.94,43.18,41.97,61.28
global,NCT06066541,"Social Norms, Messengers, and Processing Fluency to Increase Hypertension Medication Adherence",OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,65177,7,1,1,United States,,False,2023-08-18,2023-12-31,2025-01-14,135,380,-40,False,True,True,False,40366654,,,92.42,28.94,46.21,60.96
