dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
africa,NCT06660823,Role of Levothyroxine Supplementation in Delayed Recovery Following Cardiac Surgery,OTHER,TREATMENT,DRUG,70,2,1,1,Egypt,Egypt,True,2024-11-30,2025-06-15,2025-08-17,197,63,37,True,True,True,False,15249698|15678312|17848764|22345873|27347890|30005886|30200092|31485977,,,97.28,55.91,54.64,74.27
africa,NCT03031496,Bioequivalence Study Between GSK3542503 Hydrochlorothiazide + Amiloride Hydrochloride 50 mg: 5 mg Tablets and Reference Product in Healthy Adult Participants Under Fasting Conditions,INDUSTRY,TREATMENT,DRUG,42,2,1,1,South Africa,South Africa,True,2017-03-17,2017-04-10,2018-08-31,24,508,53,True,True,False,False,,,,77.58,58.64,44.79,64.39
africa,NCT04685408,A TargEted MAnageMent Intervention for Reducing Stroke Risk Factors in High Risk Ugandans,OTHER,TREATMENT,BEHAVIORAL,276,2,3,1,Uganda,Uganda,True,2022-05-13,2024-03-06,2025-08-03,663,515,507,True,True,True,False,34157024|40844998|41835484,,,58.48,46.97,35.24,49.8
africa,NCT02379728,Ghana PrenaBelt Trial: A Positional Therapy Device to Reduce Still-Birth,OTHER,TREATMENT,DEVICE,200,4,1,1,Ghana,Ghana,True,2015-09-01,2016-06-01,2020-04-02,274,1401,195,True,True,True,False,21673002|23507553|24661447|24731396|24885461|25568999|31048420|38684260,,,54.55,43.94,33.27,46.58
africa,NCT03589768,Study on the Safety and Immunogenicity of Boostrix Vaccine in Pregnant Malian Women and Their Infants,NIH,PREVENTION,BIOLOGICAL,399,2,2,2,Mali | United States,Mali,True,2019-01-24,2020-07-01,2023-01-20,524,933,224,True,True,True,False,38586589,,,51.82,43.79,31.91,45.03
africa,NCT03329599,Stroke Minimization Through Additive Anti-atherosclerotic Agents in Routine Treatment,OTHER,TREATMENT,DRUG,148,2,1,1,Ghana,Ghana,True,2019-02-14,2021-12-01,2023-12-20,1021,749,535,True,True,True,False,29540234|37734804|39082406,,,42.42,52.88,27.21,43.04
africa,NCT04404166,Phone-based Intervention Under Nurse Guidance After Stroke 2,OTHER,TREATMENT,BEHAVIORAL | OTHER,500,2,10,1,Ghana,Ghana,True,2020-10-23,2024-04-05,2026-01-30,1260,665,155,True,True,True,False,40162227,,,38.79,40.3,25.39,36.64
africa,NCT00993031,Protease Inhibitors to Reduce Malaria Morbidity in HIV-Infected Pregnant Women,OTHER,PREVENTION,DRUG,389,2,1,1,Uganda,Uganda,True,2009-12-15,2013-07-01,2017-12-02,1294,1615,68,True,True,True,True,21876053|22879899|23764539|23796921|23924639|24038035|24135775|24585398|24958908|25072616|25416075|25426808|25985404|26397935|26771662|27143666|27756308|27828878|29136115|32440638,22879899|23764539|23924639|24038035|24135775|24585398|24958908|25072616|25416075|25426808|25985404|26397935|26771662|27143666|27756308|27828878,,21.82,47.42,24.91,31.4
